Name;Station;Time(norwegian mean time);Snow depth
Hornsund;SN99754;01.07.1996;2
Hornsund;SN99754;02.07.1996;0
Hornsund;SN99754;03.07.1996;0
Hornsund;SN99754;04.07.1996;0
Hornsund;SN99754;05.07.1996;0
Hornsund;SN99754;06.07.1996;0
Hornsund;SN99754;07.07.1996;0
Hornsund;SN99754;21.08.1996;2
Hornsund;SN99754;15.09.1996;1
Hornsund;SN99754;16.09.1996;2
Hornsund;SN99754;17.09.1996;2
Hornsund;SN99754;18.09.1996;2
Hornsund;SN99754;19.09.1996;4
Hornsund;SN99754;21.09.1996;0
Hornsund;SN99754;22.09.1996;0
Hornsund;SN99754;23.09.1996;6
Hornsund;SN99754;24.09.1996;6
Hornsund;SN99754;25.09.1996;4
Hornsund;SN99754;26.09.1996;5
Hornsund;SN99754;27.09.1996;5
Hornsund;SN99754;28.09.1996;3
Hornsund;SN99754;29.09.1996;2
Hornsund;SN99754;09.10.1996;0
Hornsund;SN99754;10.10.1996;0
Hornsund;SN99754;11.10.1996;0
Hornsund;SN99754;12.10.1996;0
Hornsund;SN99754;16.10.1996;2
Hornsund;SN99754;17.10.1996;2
Hornsund;SN99754;18.10.1996;4
Hornsund;SN99754;19.10.1996;4
Hornsund;SN99754;20.10.1996;2
Hornsund;SN99754;21.10.1996;3
Hornsund;SN99754;22.10.1996;3
Hornsund;SN99754;23.10.1996;5
Hornsund;SN99754;24.10.1996;4
Hornsund;SN99754;25.10.1996;3
Hornsund;SN99754;26.10.1996;3
Hornsund;SN99754;27.10.1996;1
Hornsund;SN99754;28.10.1996;0
Hornsund;SN99754;29.10.1996;0
Hornsund;SN99754;30.10.1996;0
Hornsund;SN99754;31.10.1996;0
Hornsund;SN99754;01.11.1996;0
Hornsund;SN99754;02.11.1996;1
Hornsund;SN99754;03.11.1996;0
Hornsund;SN99754;04.11.1996;3
Hornsund;SN99754;05.11.1996;5
Hornsund;SN99754;06.11.1996;6
Hornsund;SN99754;07.11.1996;6
Hornsund;SN99754;08.11.1996;5
Hornsund;SN99754;09.11.1996;6
Hornsund;SN99754;10.11.1996;9
Hornsund;SN99754;11.11.1996;10
Hornsund;SN99754;12.11.1996;10
Hornsund;SN99754;13.11.1996;10
Hornsund;SN99754;14.11.1996;13
Hornsund;SN99754;15.11.1996;13
Hornsund;SN99754;16.11.1996;11
Hornsund;SN99754;17.11.1996;4
Hornsund;SN99754;18.11.1996;3
Hornsund;SN99754;19.11.1996;3
Hornsund;SN99754;21.11.1996;4
Hornsund;SN99754;22.11.1996;4
Hornsund;SN99754;23.11.1996;5
Hornsund;SN99754;24.11.1996;2
Hornsund;SN99754;25.11.1996;10
Hornsund;SN99754;26.11.1996;6
Hornsund;SN99754;27.11.1996;10
Hornsund;SN99754;29.11.1996;6
Hornsund;SN99754;30.11.1996;6
Hornsund;SN99754;03.12.1996;10
Hornsund;SN99754;04.12.1996;10
Hornsund;SN99754;05.12.1996;10
Hornsund;SN99754;06.12.1996;10
Hornsund;SN99754;07.12.1996;13
Hornsund;SN99754;08.12.1996;12
Hornsund;SN99754;09.12.1996;12
Hornsund;SN99754;10.12.1996;16
Hornsund;SN99754;11.12.1996;12
Hornsund;SN99754;12.12.1996;12
Hornsund;SN99754;13.12.1996;12
Hornsund;SN99754;14.12.1996;12
Hornsund;SN99754;15.12.1996;12
Hornsund;SN99754;16.12.1996;12
Hornsund;SN99754;17.12.1996;12
Hornsund;SN99754;18.12.1996;12
